종목명,티커,매매상태,잔여비중 %,최신가,BUY가,전략수익률 %,현재손절가,3R 목표가,트레일링 기준,포착일,최신일,수익률 %,최대수익 %,최대낙폭 %,3R 달성일,1차매도가,종결일,종결가,종결사유,실현수익률 %,RS,MTT,시장상태,EARLY 상태,최초 EARLY일,최초 EARLY가,EARLY후 상승률 %,EARLY후 거래일,최초손절가,초과수익 %p,매수검토,매수품질,종합점수,섹터,섹터점수,섹터내순위,주봉상태,ATR20 %,기관적합,포착RS,등급근거,등급룰 버전,룰 버전,매도룰 버전
한화생명,088350,OPEN,100.0,5890.0,5950.0,-1.0084033613445342,5474.0,7378.0,INITIAL,2026-08-28,2026-09-07,-1.0084033613445342,2.6890756302520913,-3.529411764705881,,,,,,0.0,62.89237668161435,True,COUNTERTREND,FRESH,2026-08-14,5630.0,4.618117229129659,15,5474.0,-4.050289504566984,대기,B,63.81,보험,76.6,4.0,RECOVERING,5.239495798319328,True,76.70836445108289,섹터 77 / 대장 4위 / 주봉 RECOVERING / ATR 5.2%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
아모레퍼시픽,090430,OPEN,100.0,140800.0,150600.0,-6.507304116865875,138552.0,186744.0,INITIAL,2026-08-28,2026-09-07,-6.507304116865875,0.0,-6.507304116865875,,,,,,0.0,31.557174887892376,False,COUNTERTREND,FRESH,2026-08-19,133100.0,5.785123966942152,13,138552.0,-9.549190260088324,대기,B,66.06,화학,71.4,32.0,RECOVERING,4.077025232403718,True,48.50186706497386,섹터 71 / 대장 32위 / 주봉 RECOVERING / ATR 4.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
한국철강,104700,OPEN,100.0,9550.0,10120.0,-5.632411067193677,9310.4,12548.800000000001,INITIAL,2026-08-28,2026-09-07,-5.632411067193677,0.0,-5.632411067193677,,,,,,0.0,23.89910313901345,False,COUNTERTREND,FRESH,2026-08-10,9770.0,-2.2517911975434957,19,9310.4,-8.674297210416126,대기,B,59.01,금속,67.4,33.0,RECOVERING,2.816205533596838,False,30.64637789395071,섹터 67 / 대장 33위 / 주봉 RECOVERING / ATR 2.8%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
한국콜마,161890,CLOSED,0.0,144300.0,161700.0,-9.83302411873841,148764.0,200508.0,INITIAL,2026-08-28,2026-09-07,-10.760667903525045,0.0,-10.760667903525045,,,2026-09-04,145800.0,STOP_LOSS,-9.83302411873841,85.45964125560539,True,COUNTERTREND,LATE,2026-08-04,101300.0,42.4481737413623,23,148764.0,-13.802554046747495,우선검토,S,82.97,화학,71.4,2.0,STRONG,5.667903525046382,True,90.16467513069455,섹터 71 / 대장 2위 / 주봉 STRONG / ATR 5.7%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
코스맥스,192820,CLOSED,0.0,274000.0,303000.0,-8.085808580858089,278760.0,375720.0,INITIAL,2026-08-28,2026-09-07,-9.570957095709575,0.0,-9.570957095709575,,,2026-09-02,278500.0,STOP_LOSS_GAP,-8.085808580858089,70.92040358744394,True,COUNTERTREND,LATE,2026-08-04,195200.0,40.3688524590164,23,278760.0,-12.612843238932026,대기,S,82.04,화학,71.4,3.0,STRONG,5.628712871287129,True,85.2109783420463,섹터 71 / 대장 3위 / 주봉 STRONG / ATR 5.6%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
에이피알,278470,CLOSED,0.0,384000.0,461500.0,-9.209100758396538,424580.0,572260.0,INITIAL,2026-08-28,2026-09-07,-16.793066088840735,0.650054171180936,-16.793066088840735,,,2026-09-02,419000.0,STOP_LOSS,-9.209100758396538,36.51457399103139,False,COUNTERTREND,FRESH,2026-08-12,397000.0,-3.2745591939546626,17,424580.0,-19.834952232063184,대기,B,80.05,화학,71.4,8.0,STRONG,5.64192849404117,True,82.99290515309933,섹터 71 / 대장 8위 / 주봉 STRONG / ATR 5.6%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
한일시멘트,300720,OPEN,100.0,16770.0,16950.0,-1.0619469026548645,15594.0,21018.0,INITIAL,2026-08-28,2026-09-07,-1.0619469026548645,0.707964601769917,-3.303834808259587,,,,,,0.0,24.75,False,COUNTERTREND,FRESH,2026-08-19,15190.0,10.401579986833443,13,15594.0,-4.103833045877314,대기,B,58.78,비금속,59.2,3.0,RECOVERING,2.8790560471976403,False,28.94585511575803,섹터 59 / 대장 3위 / 주봉 RECOVERING / ATR 2.9%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
디지털대성,068930,OPEN,100.0,8620.0,8660.0,-0.46189376443418473,7967.200000000001,10738.399999999998,INITIAL,2026-08-31,2026-09-07,-0.46189376443418473,0.11547344110853786,-0.6928406466512715,,,,,,0.0,79.39237668161435,False,COUNTERTREND,NO_EARLY,,,,,7967.200000000001,0.9884412509681195,대기,B,62.21,일반서비스,41.6,11.0,RECOVERING,2.800230946882217,False,78.4011953679492,섹터 42 / 대장 11위 / 주봉 RECOVERING / ATR 2.8%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
이지바이오,353810,CLOSED,0.0,6160.0,6830.0,-9.809663250366029,6283.6,8469.199999999999,INITIAL,2026-08-31,2026-09-07,-9.809663250366029,0.0,-9.809663250366029,,,2026-09-07,6160.0,STOP_LOSS,-9.809663250366029,67.51681614349776,False,COUNTERTREND,NO_EARLY,,,,,6283.6,-8.359328234963725,대기,B,59.24,음식료·담배,58.0,17.0,RECOVERING,3.5065885797950216,False,78.8819574150168,섹터 58 / 대장 17위 / 주봉 RECOVERING / ATR 3.5%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
동원시스템즈,014820,OPEN,100.0,21800.0,23200.0,-6.034482758620685,21344.0,28768.0,INITIAL,2026-08-31,2026-09-07,-6.034482758620685,0.0,-7.3275862068965525,,,,,,0.0,11.246636771300448,False,COUNTERTREND,FRESH,2026-08-07,22250.0,-2.0224719101123556,20,21344.0,-8.605882842491397,대기,B,55.56,화학,71.8,52.0,RECOVERING,3.8491379310344827,False,21.856182293612253,섹터 72 / 대장 52위 / 주봉 RECOVERING / ATR 3.8%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
하나금융지주,086790,OPEN,100.0,138900.0,136300.0,1.9075568598679427,125396.0,169012.0,INITIAL,2026-08-31,2026-09-07,1.9075568598679427,2.3477622890682337,-1.4673514306676405,,,,,,0.0,47.4652466367713,True,COUNTERTREND,FRESH,2026-08-03,126900.0,9.456264775413704,24,125396.0,-0.6638432240027692,대기,B,72.49,기타금융,49.8,7.0,STRONG,3.5179750550256785,True,55.91632424355622,섹터 50 / 대장 7위 / 주봉 STRONG / ATR 3.5%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
