ticker,name,market,first_early_date,first_early_close
064760,티씨케이,KOSDAQ,2026-08-14,244000.0
065710,서호전기,KOSDAQ,2026-08-05,44000.0
068270,셀트리온,KOSPI,2026-08-04,185800.0
069260,TKG휴켐스,KOSPI,2026-08-10,16200.0
073240,금호타이어,KOSPI,2026-08-03,6660.0
078020,LS증권,KOSDAQ,2026-08-18,6720.0
078340,컴투스,KOSDAQ,2026-08-05,30950.0
078520,에이블씨엔씨,KOSPI,2026-08-07,11930.0
079160,CJ CGV,KOSPI,2026-08-27,5370.0
079550,LIG디펜스앤에어로스페이스,KOSPI,2026-08-04,801000.0
080580,오킨스전자,KOSDAQ,2026-08-25,19400.0
081660,미스토홀딩스,KOSPI,2026-08-03,44000.0
082640,동양생명,KOSPI,2026-08-19,8250.0
084690,대상홀딩스,KOSPI,2026-08-10,7950.0
085620,미래에셋생명,KOSPI,2026-08-20,26600.0
086280,현대글로비스,KOSPI,2026-08-06,207500.0
086790,하나금융지주,KOSPI,2026-08-03,126900.0
088350,한화생명,KOSPI,2026-08-14,5630.0
089860,롯데렌탈,KOSPI,2026-08-13,42500.0
090430,아모레퍼시픽,KOSPI,2026-08-19,133100.0
090435,아모레퍼시픽우,KOSPI,2026-08-19,43600.0
091580,상신이디피,KOSDAQ,2026-08-27,22450.0
092230,KPX홀딩스,KOSPI,2026-08-03,83600.0
093050,LF,KOSPI,2026-08-24,23500.0
093520,매커스,KOSDAQ,2026-08-10,25050.0
094800,맵스리얼티,KOSPI,2026-08-27,7180.0
095570,AJ네트웍스,KOSPI,2026-08-10,4560.0
096760,JW홀딩스,KOSPI,2026-08-12,4180.0
096770,SK이노베이션,KOSPI,2026-08-04,111300.0
097950,CJ제일제당,KOSPI,2026-08-07,204500.0
098120,마이크로컨텍솔,KOSDAQ,2026-08-14,29100.0
098460,고영,KOSDAQ,2026-08-11,32800.0
100250,진양홀딩스,KOSPI,2026-08-21,3160.0
102710,이엔에프테크놀로지,KOSDAQ,2026-08-05,46150.0
104700,한국철강,KOSPI,2026-08-10,9770.0
105560,KB금융,KOSPI,2026-08-03,169500.0
108670,LX하우시스,KOSPI,2026-08-04,33350.0
122900,아이마켓코리아,KOSPI,2026-08-07,7990.0
123330,제닉,KOSDAQ,2026-08-10,29600.0
123890,한국자산신탁,KOSPI,2026-08-20,2485.0
126560,현대퓨처넷,KOSPI,2026-08-03,3185.0
127120,제이에스링크,KOSDAQ,2026-08-19,36700.0
128940,한미약품,KOSPI,2026-08-24,540000.0
136490,선진,KOSPI,2026-08-05,10100.0
138040,메리츠금융지주,KOSPI,2026-08-24,115400.0
144960,뉴파워프라즈마,KOSDAQ,2026-08-25,9790.0
145020,휴젤,KOSDAQ,2026-08-07,273500.0
145990,삼양사,KOSPI,2026-08-26,45800.0
160980,싸이맥스,KOSDAQ,2026-08-13,34950.0
161390,한국타이어앤테크놀로지,KOSPI,2026-08-06,70500.0
161890,한국콜마,KOSPI,2026-08-04,101300.0
175330,JB금융지주,KOSPI,2026-08-03,27100.0
180640,한진칼,KOSPI,2026-08-06,127200.0
183190,아세아시멘트,KOSPI,2026-08-27,10550.0
192400,쿠쿠홀딩스,KOSPI,2026-08-03,26300.0
192820,코스맥스,KOSPI,2026-08-04,195200.0
194370,제이에스코퍼레이션,KOSPI,2026-08-03,13230.0
194700,노바렉스,KOSDAQ,2026-08-06,15460.0
200880,서연이화,KOSPI,2026-08-11,12860.0
204320,HL만도,KOSPI,2026-08-13,55500.0
204620,글로벌텍스프리,KOSDAQ,2026-08-25,5150.0
206640,바디텍메드,KOSDAQ,2026-08-07,10990.0
207940,삼성바이오로직스,KOSPI,2026-08-19,1544000.0
214320,이노션,KOSPI,2026-08-05,19320.0
222800,심텍,KOSDAQ,2026-08-10,115900.0
225570,넥슨게임즈,KOSDAQ,2026-08-26,10890.0
226320,잇츠한불,KOSPI,2026-08-11,11020.0
237880,클리오,KOSDAQ,2026-08-12,12160.0
241560,두산밥캣,KOSPI,2026-08-10,64900.0
244920,에이플러스에셋,KOSPI,2026-08-05,12290.0
251970,펌텍코리아,KOSDAQ,2026-08-13,54800.0
257720,실리콘투,KOSDAQ,2026-08-07,39300.0
264850,이랜시스,KOSDAQ,2026-08-10,6750.0
267250,HD현대,KOSPI,2026-08-14,235500.0
268280,미원에스씨,KOSPI,2026-08-27,130300.0
271560,오리온,KOSPI,2026-08-07,137600.0
278470,에이피알,KOSPI,2026-08-12,397000.0
280360,롯데웰푸드,KOSPI,2026-08-07,116900.0
282330,BGF리테일,KOSPI,2026-08-04,125300.0
284740,쿠쿠홈시스,KOSPI,2026-08-24,22850.0
286940,롯데이노베이트,KOSPI,2026-08-06,18500.0
294870,IPARK현대산업개발,KOSPI,2026-08-25,22400.0
298000,효성화학,KOSPI,2026-08-03,65500.0
300720,한일시멘트,KOSPI,2026-08-19,15190.0
306200,세아제강,KOSPI,2026-08-10,136300.0
316140,우리금융지주,KOSPI,2026-08-19,33500.0
