종목명,티커,매매상태,잔여비중 %,최신가,BUY가,전략수익률 %,현재손절가,3R 목표가,트레일링 기준,포착일,최신일,수익률 %,최대수익 %,최대낙폭 %,3R 달성일,1차매도가,종결일,종결가,종결사유,실현수익률 %,RS,MTT,시장상태,EARLY 상태,최초 EARLY일,최초 EARLY가,EARLY후 상승률 %,EARLY후 거래일,최초손절가,초과수익 %p,매수검토,매수품질,종합점수,섹터,섹터점수,섹터내순위,주봉상태,ATR20 %,기관적합,포착RS,등급근거,등급룰 버전,룰 버전,매도룰 버전
에스원,012750,OPEN,100.0,81400.0,85500.0,-4.7953216374268965,78660.0,106020.0,INITIAL,2026-08-27,2026-09-11,-4.7953216374268965,0.0,-7.485380116959062,,,,,,0.0,27.01682242990654,False,COUNTERTREND,FRESH,2026-08-06,75000.0,8.533333333333326,25,78660.0,-4.759733264698006,대기,B,59.41,일반서비스,54.6,18.0,RECOVERING,3.385964912280702,False,32.199029126213595,섹터 55 / 대장 18위 / 주봉 RECOVERING / ATR 3.4%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
케이씨,029460,OPEN,100.0,39900.0,38650.0,3.2341526520051733,35558.0,47926.0,INITIAL,2026-08-27,2026-09-11,3.2341526520051733,6.468305304010347,-4.786545924967656,,,,,,0.0,62.17570093457944,False,COUNTERTREND,NORMAL,2026-08-05,31850.0,25.274725274725274,26,35558.0,3.269741024734063,대기,B,59.01,의료·정밀기기,30.400000000000002,2.0,RECOVERING,5.051746442432083,False,76.30171769977595,섹터 30 / 대장 2위 / 주봉 RECOVERING / ATR 5.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
아세아시멘트,183190,OPEN,100.0,10710.0,10550.0,1.516587677725112,9706.0,13082.0,INITIAL,2026-08-27,2026-09-11,1.516587677725112,8.341232227488149,-1.0426540284360186,,,,,,0.0,20.984299065420558,False,COUNTERTREND,FRESH,2026-08-27,10550.0,1.516587677725112,11,9706.0,1.5521760504540016,대기,C,52.72,비금속,58.2,10.0,RECOVERING,2.976303317535545,False,19.519044062733386,섹터 58 / 대장 10위 / 주봉 RECOVERING / ATR 3.0%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
심텍,222800,OPEN,100.0,131200.0,126900.0,3.3884948778565738,116748.0,157356.0,INITIAL,2026-08-27,2026-09-11,3.3884948778565738,5.516154452324673,-7.4074074074074066,,,,,,0.0,92.5973831775701,True,COUNTERTREND,FRESH,2026-08-10,115900.0,13.201035375323556,23,116748.0,5.419175949903366,대기,B,60.25,전기·전자,53.6,14.0,GOOD,9.178486997635932,True,95.1923076923077,섹터 54 / 대장 14위 / 주봉 GOOD / ATR 9.2%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
KG이니시스,035600,OPEN,100.0,10110.0,10640.0,-4.981203007518797,9788.800000000001,13193.599999999997,INITIAL,2026-08-28,2026-09-11,-4.981203007518797,0.0,-4.981203007518797,,,,,,0.0,72.68635514018692,False,COUNTERTREND,NO_EARLY,,,,,9788.800000000001,-2.8617149288937878,대기,B,57.6,IT 서비스,42.199999999999996,49.0,RECOVERING,2.617481203007519,False,74.52725914861837,섹터 42 / 대장 49위 / 주봉 RECOVERING / ATR 2.6%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
씨젠,096530,CLOSED,0.0,31550.0,35650.0,-9.957924263674611,32798.0,44206.0,INITIAL,2026-08-28,2026-09-11,-11.500701262272095,0.0,-14.86676016830295,,,2026-09-02,32100.0,STOP_LOSS,-9.957924263674611,83.90018691588784,True,COUNTERTREND,NO_EARLY,,,,,32798.0,-9.381213183647086,대기,B,75.79,제약,46.2,2.0,STRONG,5.119214586255259,True,86.20911127707244,섹터 46 / 대장 2위 / 주봉 STRONG / ATR 5.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
글로벌텍스프리,204620,CLOSED,0.0,5390.0,5960.0,-9.899328859060407,5483.2,7390.400000000001,INITIAL,2026-08-28,2026-09-11,-9.563758389261745,0.0,-11.073825503355705,,,2026-09-03,5370.0,STOP_LOSS,-9.899328859060407,78.2377570093458,False,COUNTERTREND,FRESH,2026-08-25,5150.0,4.660194174757271,13,5483.2,-7.444270310636735,대기,B,67.42,금융,80.6,8.0,RECOVERING,5.444630872483222,False,85.8024645257655,섹터 81 / 대장 8위 / 주봉 RECOVERING / ATR 5.4%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
아모레퍼시픽홀딩스,002790,CLOSED,0.0,25800.0,28000.0,-8.92857142857143,25760.0,34720.0,INITIAL,2026-08-28,2026-09-11,-7.857142857142863,0.0,-8.92857142857143,,,2026-09-09,25500.0,STOP_LOSS,-8.92857142857143,24.352149532710282,False,COUNTERTREND,FRESH,2026-08-21,26000.0,-0.7692307692307665,15,25760.0,-9.639911148819847,대기,B,57.31,화학,71.4,70.0,RECOVERING,3.767857142857143,False,32.67961165048544,섹터 71 / 대장 70위 / 주봉 RECOVERING / ATR 3.8%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
KPX케미칼,025000,OPEN,100.0,56100.0,55800.0,0.5376344086021501,51336.0,69192.0,INITIAL,2026-08-28,2026-09-11,0.5376344086021501,0.5376344086021501,-3.584229390681004,,,,,,0.0,38.00859813084112,True,COUNTERTREND,FRESH,2026-08-24,54000.0,3.8888888888888973,14,51336.0,-1.2451338830748337,대기,B,67.82,화학,71.4,21.0,RECOVERING,2.1460573476702507,False,33.603808812546674,섹터 71 / 대장 21위 / 주봉 RECOVERING / ATR 2.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
코스맥스비티아이,044820,CLOSED,0.0,22600.0,26800.0,-8.208955223880599,24656.0,33232.0,INITIAL,2026-08-28,2026-09-11,-15.671641791044777,0.0,-18.097014925373134,,,2026-09-03,24600.0,STOP_LOSS_GAP,-8.208955223880599,47.96411214953271,True,COUNTERTREND,FRESH,2026-08-04,21050.0,7.3634204275534465,27,24656.0,-17.45441008272176,대기,B,68.54,기타금융,48.99999999999999,2.0,STRONG,6.942164179104478,False,81.80993278566093,섹터 49 / 대장 2위 / 주봉 STRONG / ATR 6.9%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
한화생명,088350,OPEN,100.0,5990.0,5950.0,0.6722689075630228,5474.0,7378.0,INITIAL,2026-08-28,2026-09-11,0.6722689075630228,2.6890756302520913,-4.033613445378148,,,,,,0.0,62.80485981308411,True,COUNTERTREND,FRESH,2026-08-14,5630.0,6.394316163410307,19,5474.0,-1.110499384113961,대기,B,63.81,보험,76.6,4.0,RECOVERING,5.239495798319328,True,76.70836445108289,섹터 77 / 대장 4위 / 주봉 RECOVERING / ATR 5.2%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
